Test_ID,Category,Gender,WER,CER,Original_Text,Whisper_Transcription
HIN_01,vowels_and_consonants,Male,0.467,0.15,एक आम आदमी और औरत इमली के पेड़ के नीचे बैठकर ऊन बुन रहे हैं।,एक आमागमी और औरत इम्ली के पेर के नीचे बैट कर उन बुन रहे हैं।
HIN_02,velars_gutturals,Male,0.667,0.156,"कमल और काव्या ने खेत से कद्दू उखाड़ा, फिर गरम घी का घड़ा उठाकर घर की ओर भागे।","खमल और काव्याने खेट से कदू खाडा, फिर गरम गी का घडा उठा कर घर की वर भागे"
HIN_03,retroflexes,Male,0.562,0.216,षट्कोण के अंदर रखे ढक्कन और डमरू को देखकर ठग टमाटर टोकरी में डालकर डर गया।,"शटकोन के अंदर रके दकन और दमरो को देखकर, खड तमाटा तोकरी में डालकर दर गया।"
HIN_04,palatals_and_nasals,Male,0.636,0.204,चंचल छतरी लेकर झमाझम बारिश में जंगल की ओर चली गई।,शंचर चत्री लेकर जमा जम भारिश में जंगल की और चली गए।
HIN_05,labials_and_aspirated,Male,0.615,0.214,भालू ने भारी पेड़ पर बैठकर मीठा फल खाया और पानी पी लिया।,बालो ने भारी पेड पर वैट कर मीथा फॉल खाया और पानी की लिए.
HIN_06,loan_words_nukta,Male,0.667,0.2,"ज़रा फ़िक्र मत करो, क़लम से ख़त लिखकर ग़ज़ल का मज़ा लो।","जरा फिक्र मत करो, कलम से खट लिककर घाजल का मजा लो."
HIN_07,complex_conjuncts,Male,0.667,0.212,"ज्ञानी ऋषि और श्रमिक ने क्षमा, विज्ञान और त्रिशूल का महत्व समझाया।","यानी रिशी और स्रमिक निक्षमा, विज्यान और त्रिशूर का महत्व सम्जाया।"
HIN_08,dentals_and_visarga,Male,0.5,0.197,"दुःख मत कर, स्वतः ही नया धन प्राप्त होगा और धर्म की जीत होगी।",दुक्मत कर सॉता इन नया दण प्राप्त होगा और धर्म की जीत होगी
HIN_09,flaps_and_chandrabindu,Male,0.571,0.258,"गाँव में पाँच ऊँट, एक साँड़, और बड़ी सूँड वाले बूढ़े हाथी खड़े थे।","गाव में पाज उंट, एक साणड और बड़ी सुनड वाले पूरे हाथी कहे थी।"
HIN_10,approximants_and_sibilants,Male,0.286,0.071,यश और श्वेता बहुत विश्वास के साथ विद्यालय में योग और व्यायाम सीखने गए।,यश और शुवेता बहुत विश्वास के साथ विद्यालाए में योग और वियायाम सीखने गय।
HIN_11,english_loan_words,Male,0.143,0.085,आजकल के डॉक्टर और इंजीनियर मॉडर्न स्कूल के प्रोजेक्ट पर काम कर रहे हैं।,आजकल के दाक्तर और इंजीनियर मौडन स्कूल के प्रोजेक्ट पर काम कर रहे हैं।
HIN_12,heavy_geminates,Male,0.538,0.104,बिल्ली ने चम्मच से मक्खन चाटा और छप्पर पर कूदकर गुब्बारा फोड़ दिया।,बिल्ली ने चम्मच से मक्खन चाता और चप्पर पर कूद कर गुबारा फोड दिया
HIN_13,ha_placement,Male,0.231,0.057,हम कल सुबह शहर के उस बड़े महल की वजह से वहाँ ठहरेंगे।,हम कल सुबा शहर के उस बड़े महल की वजह से वहाथ थहरेंगे।
HIN_14,vowel_hiatus,Male,0.571,0.312,"भैया, कौआ उड़ गया, अब आइए और मुझे बताइए कि मैं वहाँ कैसे जाऊँगा?",बहिया कवा अडगया अब आईये और मुझे बताईये कि मैं वहां कैसे जाउंगा।
HIN_15,sanskrit_tatsama,Male,0.467,0.234,इस उज्ज्वल और महत्त्वपूर्ण कार्य के लिए प्राचीन संस्कृति और प्रौद्योगिकी का ज्ञान अनिवार्य है।,इस ओजौल और महेत्तव पुनकार्य के लिए प्राचीन संस्क्रुती और प्रोद्योगिकी का ग्यान अनिवारे है।
HIN_16,prosody_and_punctuation,Male,0.529,0.418,"वाह! तुमने तो कमाल कर दिया; लेकिन, क्या तुम्हें सच में लगता है कि यह मुमकिन है?",वाज़प्तालेइतार्फुणितार्सी तुमने तो कमारि कर दिया लेकिन क्या तुम्मे सचमे लगता है कि यह मुम्किन हैं
