Test_ID,Category,WER,CER,Original_Text,Whisper_Transcription
HIN_01,vowels_and_consonants,0.6,0.267,एक आम आदमी और औरत इमली के पेड़ के नीचे बैठकर ऊन बुन रहे हैं।,एक आम आगमी और आवित इम्री के पेड के निथिये बैट कर उन उन रहे हैं।
HIN_02,velars_gutturals,0.556,0.156,"कमल और काव्या ने खेत से कद्दू उखाड़ा, फिर गरम घी का घड़ा उठाकर घर की ओर भागे।","कबल और काव्या ने खेट से कदू उखड़ा, फिर गरम गी का कड़ा उखा कर घर की वौर भारे।"
HIN_03,retroflexes,0.812,0.257,षट्कोण के अंदर रखे ढक्कन और डमरू को देखकर ठग टमाटर टोकरी में डालकर डर गया।,शतकुन के अंदर रके ककन और दम्रू को देख कर थक कमा कर तोकरी में डाल कर दर गया।
HIN_04,palatals_and_nasals,0.636,0.224,चंचल छतरी लेकर झमाझम बारिश में जंगल की ओर चली गई।,चंचल्च्छत्री लेकर जमाजम भारिश में जमनल की और चली गी।
HIN_05,labials_and_aspirated,0.462,0.161,भालू ने भारी पेड़ पर बैठकर मीठा फल खाया और पानी पी लिया।,भालू ने भारी पेल पर बैक्र वीठाफल खाया और पानी ति लिया
HIN_06,loan_words_nukta,0.75,0.345,"ज़रा फ़िक्र मत करो, क़लम से ख़त लिखकर ग़ज़ल का मज़ा लो।","जरा फेकरमक करो, कलम से हतले कर हिसल का मजा रो"
HIN_07,complex_conjuncts,0.583,0.167,"ज्ञानी ऋषि और श्रमिक ने क्षमा, विज्ञान और त्रिशूल का महत्व समझाया।",ग्यानीश्य और श्रमिक नेक्षमा विज्यान और त्रिशूर का महत्व सम्झाया।
HIN_08,dentals_and_visarga,0.5,0.213,"दुःख मत कर, स्वतः ही नया धन प्राप्त होगा और धर्म की जीत होगी।",दूक मत कर सौत ही ने दहन प्राप्त होगा और धर्म की जीथ होगी
HIN_09,flaps_and_chandrabindu,0.571,0.273,"गाँव में पाँच ऊँट, एक साँड़, और बड़ी सूँड वाले बूढ़े हाथी खड़े थे।",गाउ में पाँच उंप एक सार्थ और वडी सूर्वाले बूडे हाती खड़े थे।
HIN_10,approximants_and_sibilants,0.286,0.057,यश और श्वेता बहुत विश्वास के साथ विद्यालय में योग और व्यायाम सीखने गए।,यश और श्वेता बहुत विश्वास के साथ विद्याले में योक और व्यायाम सीकने गे।
HIN_11,english_loan_words,0.357,0.141,आजकल के डॉक्टर और इंजीनियर मॉडर्न स्कूल के प्रोजेक्ट पर काम कर रहे हैं।,आजको के गातर और इंजीनिये मडरन स्कूर के प्रोजेक्ट पर काम कर रहे हैं।
HIN_12,heavy_geminates,0.769,0.299,बिल्ली ने चम्मच से मक्खन चाटा और छप्पर पर कूदकर गुब्बारा फोड़ दिया।,विल्ली ने चमद से मकन चाटा और चपर पर कूड कर वो बरा फूर दिया
HIN_13,ha_placement,0.385,0.113,हम कल सुबह शहर के उस बड़े महल की वजह से वहाँ ठहरेंगे।,हम काल सुबाज शहर के उस बड़े महल की वजा से वहां थहरेंगे।
HIN_14,vowel_hiatus,0.429,0.156,"भैया, कौआ उड़ गया, अब आइए और मुझे बताइए कि मैं वहाँ कैसे जाऊँगा?",भैया कौआ उड़ गया अब आये और मुझे बताये कि मैं वहां कैसे जाउगा।
HIN_15,sanskrit_tatsama,0.533,0.223,इस उज्ज्वल और महत्त्वपूर्ण कार्य के लिए प्राचीन संस्कृति और प्रौद्योगिकी का ज्ञान अनिवार्य है।,इस उज्वल और महत्तोपूरुन कारिये के लिए प्रचीन संसक्रती और प्रोजोविकी का ग्यान अनिवारिय है।
HIN_16,prosody_and_punctuation,0.529,0.139,"वाह! तुमने तो कमाल कर दिया; लेकिन, क्या तुम्हें सच में लगता है कि यह मुमकिन है?",वहत तुमने तो कमल कर दिया लेकिन क्या तुमहे सचमे लगता है कि ये मुमकिन है
HIN_17,perso_arabic_nukta,0.571,0.25,ख़ौफ़नाक तूफ़ान के बाज़ू में खड़े फ़क़ीर ने क़र्ज़ माफ़ करने की गुज़ारिश की।,"कौषनाक तूसान के बाजों में खड़े, फकीर ने करलीस माफ करने की गुजारीज की।"
HIN_18,number_normalization,0.786,0.282,सेठ जी ने पचहत्तर प्रतिशत मुनाफ़े के साथ कुल चौवन हज़ार रुपये नकद कमाए।,सेर जीने पच्छातर प्रतीसक मुनाफे के साथ कुर्चावन रुपे नाकद कमाए।
HIN_19,consonant_clusters_r,0.467,0.208,"ट्रेन स्टेशन से प्रस्थान कर चुकी है, कृपया अपने ट्रक को क्रॉसिंग से दूर रखें।",टेन स्टेशन से प्रस्थान कर चुकी है क्रिप्या अपने कको क्रुसिन से दूर रकें
HIN_20,alliteration_rapid,0.733,0.254,चंदू के चाचा ने चाँदी के चम्मच से चटपटी चटनी चखाई और चंपारण चले गए।,चम्दू के चाताने चामबी के चम्मज से चटपी चक्नी चकाई और चुम्पारन चलेगे।
