Sample Index,Original Text,WER,Transcribed Text,SNR (dB),S-SIM
0,हमें कृषि के लिए उपयोग में आने वाली विभिन्न विभिन्न यात्रा औजारों का प्रयोग किया जाता है जैसे कि हम,0.45,हमें कर्षी के लिए उप्योग में आने वाली विधिन्न विधिन्न यात्रा अलरों का प्रियोग किया जाता है। जैसे की हग,75.27,0.149
1,हमारे यहाँ जब कटाई होती है तो हम लोग हाइवेस्टर के द्वारा कटाई करते हैं,0.267,"हमारे यहाँ जब कटाई होती है, तो हम लोक हाईवेस्ते के दौज कटाई करते हैं।",82.65,0.132
2,ताकि उसमें से जो उसमें से ये है कि हम लोग को उसमें भूसा नहीं मिलता है जो हम लोग गायों को खिला सकें,0.167,ताकि उसमे से जो उसमे से ये है कि हम लोग को उसमे भूसा नहीं मिलता है जो हम लोग गायों को खिला सकें।,60.58,0.087
3,उसमें नी मिलता और जब वहाँ पल हाथ से कटाई करते हैं जो हँसिया क्या होती है उससे कटाई करते हैं तो हम लोग फिर उसको गहवाते हैं जो भी होता है गेहूँ या फिर धान हो उसको हम लोग गहवाते उसकी मसीन होती है अलग ही मसीन होती है उसकी,1.0,,70.41,0.104
4,अब नहीं होते उससे उसके लिए अलग से ही मसीन आ गई है जो हल चलते हैं,0.294,अब नहीं होते उस से उसके लिये अलग से ही मसिन आ गई है जो हल चलते हैं।,82.19,0.115
5,शेयर बाज़ार को हम जानते हैं शेयर में शेयर बाज़ार मे उतार चढ़ाव कैसे होता है ये पूरे अपने भारत में होती है भारत के होते हुए भी हमें जानकारी है कि,0.281,"शेर बार को हम जानते हैं, शेर में शेर बार में उतार चाव कैसे होता है, ये पूरे अपने भारत में होती है, भारत के होते हुए भी हमें जानकारी है।",84.42,0.078
6,चांदी गिरा कब चांदी का भाव बड़ा ये सब शेयर बाज़ार से हमको मालूम होता है कार हो गया जैसे गाड़ी हो गई बाइक हो गया मोटरसाइ और ट्रक हो गया बहुत से जो हैं वाहन भी शेयर बाज़ार से पता चलता है हमको,0.5,"चान्दी गिराकप चान्दी का भावबा ये सब शेर बार से हम को मालूम होता है कार हो गया, जैसे गाई हो गई, बाईक हो गया मोट साय और टक हो गया, बहुत से जोहर वाहन भी शेर बार से पता चारता है हम को",82.39,0.134
7,ये सारी जानकारियाँ हमको शेयर बाज़ार से होती हैं अब तो घर बैठे बैठे हम हर एक किसी एप से भी हम पैसा लगा देते हैं ले लेते हैं,0.241,ये सारी जालकारियां हमको शेर बार से होती हैं अब तो घर बैके बैके हम हरे किसी एप से भी हम पैसा लगा देते हैं ले लेते हैं,83.79,0.146
8,सारे काम घर बैठे बैठे भी हो जाता है फ़ोन फ़ोन से हो जाता है शेयर बाज़ार तक पैसा पहुँच जाता है और उसकी भाव को हम पता वही से लगता है शेयर मार्किट से,0.229,सारे काम घर बैठे बैठे भी हो जाता है उन्नों से हो जाता है शेर बार ता पैसा पौन्छ जाता है और उसकी भाव को हम पता वही से लगता है चेर मार्किक से,82.48,0.068
9,जी हाँ हमारे यहाँ कई गाइड और सर्विस प्रोवाइडर है जो हमारे क्षेत्रों मे पर्यटकों को क्षेत्र में मार्गदर्शित कराते है अब वो कई भाषाएं भी बोलते है अगर हम बात करें तो उसमें आते है रेडियन ट्रैवलस प्राइवेट लिमिटेड,0.525,जी हाकमारेग्यहां केई गाय और सर्विस प्रोवाईडर है जो हमारे ख्षेतों में परेकेकों को ख्षेत में मारदशित कराते है अब वो ऐ भाशाय भी बोरते है अगर हम बात करें तो उस में आते है रियन के वल्लस प्रावेट विमिटे,83.2,0.173
10,पूजा कमनिकेशन श्री महालक्ष्मी टूरिस सर्विसेस सतपुड़ा ट्रेवल्स,1.0,पुजा खम्निकेशन्ट्श्री महलक्ष्मी तूरिस् सर्वसेस् सत्प्वा फ्रेविल्स्,83.78,-0.043
11,भधावर ट्रेवल्स मिस्ट्री ट्रेवल्स विविनधा ट्रेवल्स,1.167,"वड़ावर त्रेवल्स, मिस्तुरी त्रेवल्स, विभिनहाँ त्रेवल्स था.",76.17,0.172
12,एन बहुत सारे ऐसे कई भी सर्विस प्रोवॉइडर्स है जो जो हम यहाँ से वहाँ घूमने में पूरे मधप्र देश में पूरे जितनी भी टूरीस वाली जगह है जहाँ हमें देखना चाहिए वहाँ पे वो हमें दिखाते है,0.368,"एन बहुत सारे ऐसे ऐइ भी सर्विस प्रोवेर्स है, जो जो हम यहां से वहां घुमने में पूरे मद्पर्देश में पूरे जितनी भी तूरीस वाली जगय है, जहां हमें देखना चाहिये, वहां पे वो हमें दिहाते हैं.",84.22,0.076
13,और साथ में अगर हम भाषाओं की बात करें तो इंग्लिश और हिन्दी उनको दोनों आती है लेकिन मुख्य रूप से वो हिन्दी मे बात करते है और कई ऐसे भी सर्विस प्रोवाइडर है जो बुन्देलखण्डी भाषा का प्रयोग करते है क्योंकि हमारे यहाँ पे बुन्देलखण्ड की भाषा बहुत,0.408,और साथमे अगर हम भाशाओ की बात करें तो इन्वीश और हिंडी उनको दोनो आती है। लेकिन मुक्हे रूप से वो हिंडी में बात करते है। और कई ऐसे भी सर्विस प्रोजर है जो बुन्देगंडी भाशा का प्र्योग करते है। क्योंकि हमारे यहां पे भुदेगंड की भाशा बहुत।,83.6,0.075
14,प्रयोग मे लाई जाती है और अगर हम प्रोपर भोपाल की बात करें तो भोपाल में लोग भोपाली भाषा बोलते है जो हिन्दी और इंग्लिश और बुन्देलखण्डी का मिक्सअप होती है तो वो उस तरके की भाषा का प्रयोग करते है,0.439,"प्योग में लाई जाती हैं। और अगर हम प्रोपर भुपाल की बात करें, तो भुपाल में लोग भुपाली भाशा बोरते हैं, जो हिंडी और इंड्रिश्व और गुंदेदहंडी का मिक सपप होती हैं, तो वो उस तरके की भाशा का प्योग करते हैं।",83.85,0.048
15,तो हाँ कह सकते है कि उन्हें हिन्दी इंग्लिश बुन्देलखण्डी और भोपाली जो खुद की बनाई हुई ये भाषा है उन सभी भाषाओं का प्रयोग करते है,0.37,"तो हाँ कह सबते है कि उन्हें हिंडि, इंब्लिश बुन्देखणी और भुपाली जो खुद की बनाई हुई भशा है उन सभी भशां का प्र्योग करते हैं।",83.71,0.08
16,कम पदार्थ में ओ बन सकती है मतलब उसको मतलब बनाने के लिए ज़्यादा समय की जरूरत नहीं है कि ज़्यादा पदार्थ हो बस ज़्यादा सामानों की जरूरत नहीं है इसीलिए मैं खिचड़ी बना लेती हूँ और खिचड़ी तो मैंने ज़्यादातर ही बनाती हूँ क्योंकि ज़्यादातर मेरे यही परिस्थिति है,0.5,कम पढार्प में वबन सकति है मतलब उसकbagai मतलब बनाने के लिए sentralization क्याडा समय की ज्रूरत नहीं है क्याडा पढार्�ち हो बस क्याडा सामानों की ज्रूरत नहीं है इससी लिए मैं खिछड़ि बना लेती हूं और खिछडि तो मैं ग्यादातर ही बनाती हूं क्योकि ग्यादातर मेरे ये परसित्थी हैं,72.01,0.033
17,अगर आप एक महीने में एक सप्ताह में अगर आप दो बार तीन बार एक महीने में खाते हो खिचड़ी तो आप निरोगी हो मतलब आपकी जो पेट हे ओ थोड़ा निरोगी ओ शांत रहेगा ओ ज़्यादा आपकी पेट मतलब खराब नही होगी इसे इसिलिए तो मैं खिचड़ी ज़्यादातर,0.286,"अगर आप एक महिने में, एक सप्ता में, अगर आप दो बार तीन बार एक महिने में काते हो, खिचडी तो आप निरोगी हो, मतलब आपकी जो पेट है ओ थोड़ा निरोगी हो, शान्त रहेगा ओ, क्यादा आकी पेट मतलब खराब नहीं होगी, इसे इसी तो मैं खिचडी ग्यादातर,",79.43,0.068
18,आज भारत के सामने कई सारे ऐसे सबसे गम्भीर पर्यावरणीय मुद्दे हैं उनमें से कुछ जैसे वायु ओर मृदा प्रदूषण,0.65,आजि भारत के सामने एई सारे ऐसे सब से गमभीर परियावरनी मुद्धे हैं उनमेसे कुछ जैसे वायू और मर्दा परदूश्वा,64.84,0.001
19,कई तरीके से बदले हैं इनमें पूरे साल के दौरान ऋतुओं में भी गर्मी में बारिश में सर्दी में कई बदलाव देखने को मिलते हें जैसे जैसे मौसम चेंज होता है वैसे वैसे प्राकतिक दृश्य भी चेंज होता जाता है,0.375,"एतरीके से बदले हैं<|nn|> इनमें पूरे साल के दौरान्टों में भी गर्मी में, बारिश में, सर्डी में कई बद्राव देखने को मिलते। यै जैसे जैसे मोसम चेनज होता हैं। मैसे वैसे प्राक्तिक द्रिश्य भी चेंज होता जाता हैं।",84.83,-0.015
