Sample Index,Original Text,WER,Transcribed Text,SNR (dB),S-SIM
0,हमें कृषि के लिए उपयोग में आने वाली विभिन्न विभिन्न यात्रा औजारों का प्रयोग किया जाता है जैसे कि हम,0.35,हमें क्रिषी के लिये उप्योग में आने वाली विभिन्न विभिन्न यात्रा औ जारों का प्रेवोग किया जाता है जैसे कि हम।,75.19,0.107
1,हमारे यहाँ जब कटाई होती है तो हम लोग हाइवेस्टर के द्वारा कटाई करते हैं,0.133,"हमारे यहां जब कटाई होती है, तो हम लोग हाईवेस्तर के द्वारा कटाई करते हैं.",76.05,0.176
2,ताकि उसमें से जो उसमें से ये है कि हम लोग को उसमें भूसा नहीं मिलता है जो हम लोग गायों को खिला सकें,0.208,"ताकि उसमे से जो उसमे से यह है, कि हम लोग को उसमे भूसा नहीं मिलता है, जो हम लोग गायों को खिला सकें।",75.22,0.183
3,उसमें नी मिलता और जब वहाँ पल हाथ से कटाई करते हैं जो हँसिया क्या होती है उससे कटाई करते हैं तो हम लोग फिर उसको गहवाते हैं जो भी होता है गेहूँ या फिर धान हो उसको हम लोग गहवाते उसकी मसीन होती है अलग ही मसीन होती है उसकी,0.471,उसमें निम प्लता और जब वहां पल लाथ से कटाई करते हैं जो हन्स्या क्या होती हैं उस से कटाई करते हैं तो हम लोग फिर उसको गह्वाते हैं जो भी होता हैं गेहू या फिर धान हो उस को लोग गश्छाइ शार।,72.42,0.19
4,अब नहीं होते उससे उसके लिए अलग से ही मसीन आ गई है जो हल चलते हैं,0.176,अब नहीं होते उससे उसके लिये अलक से ही मसीन आ गई है जो हल चलते हैं।,76.16,0.104
5,शेयर बाज़ार को हम जानते हैं शेयर में शेयर बाज़ार मे उतार चढ़ाव कैसे होता है ये पूरे अपने भारत में होती है भारत के होते हुए भी हमें जानकारी है कि,0.188,"शेयर बाजार को हम जानते हैं शेयर में, शेयर बाजार में उतार चढाव कैसे होता है, ये पूरे अपने भारत में होती है, भारत के होते हुए भी हमें जांकारी है की.",73.16,0.083
6,चांदी गिरा कब चांदी का भाव बड़ा ये सब शेयर बाज़ार से हमको मालूम होता है कार हो गया जैसे गाड़ी हो गई बाइक हो गया मोटरसाइ और ट्रक हो गया बहुत से जो हैं वाहन भी शेयर बाज़ार से पता चलता है हमको,0.205,"चाँदी गिरा कब चाँदी का भाव बढ़ा, ये सब शेयर बाजार से हमको मालूम होता है, कार हो गया जैसे गाडी हो, गई बाईक हो गया, मोतर साई और ट्रक हो गया, बहुत से जो हैं वाहन भी शेयर बाजार से पता चलता है हमको.",71.55,0.075
7,ये सारी जानकारियाँ हमको शेयर बाज़ार से होती हैं अब तो घर बैठे बैठे हम हर एक किसी एप से भी हम पैसा लगा देते हैं ले लेते हैं,0.276,ये सारी जानकारिया हमको शेर बाजार से होती हैं. अप तो घर बैठे-बैठे हम हर एक किसी एप से भी हम पैसा लगा देते हैं ले-लेते हैं.,74.19,0.079
8,सारे काम घर बैठे बैठे भी हो जाता है फ़ोन फ़ोन से हो जाता है शेयर बाज़ार तक पैसा पहुँच जाता है और उसकी भाव को हम पता वही से लगता है शेयर मार्किट से,0.257,"सारे कामगर बैठे-बैठे भी हो जाता है, फोन-फोन से हो जाता है, शेयर बाजार तक पैसा पहुछ जाता है और उसकी भाव को हम पता वही से लगता है शेयर मारकिट से.",73.34,0.038
9,जी हाँ हमारे यहाँ कई गाइड और सर्विस प्रोवाइडर है जो हमारे क्षेत्रों मे पर्यटकों को क्षेत्र में मार्गदर्शित कराते है अब वो कई भाषाएं भी बोलते है अगर हम बात करें तो उसमें आते है रेडियन ट्रैवलस प्राइवेट लिमिटेड,0.375,"जी हां हमारे यहां कई गाईर और सर्विस प्रोवाईडर है, जो हमारे क्षेत्रों में परितकों को ख्षेत्र में मार्ग द्रशित कराते है. अब वो कई भाशाइं भी बोलते है, अगर हम बात करें तो उस में आते है, विवाल्वाद्याइं प्राइवेट लिमिते.",72.23,0.099
