Sample Index,Original Text,WER,Transcribed Text,SNR (dB),S-SIM
0,हमें कृषि के लिए उपयोग में आने वाली विभिन्न विभिन्न यात्रा औजारों का प्रयोग किया जाता है जैसे कि हम,0.4,हमें किसी के लिए उपयोग में आने वाली विभीन विभीन यात्रा और जरों का प्रियोग किया जाता हैं जैसे कि हम।,68.91,0.023
1,हमारे यहाँ जब कटाई होती है तो हम लोग हाइवेस्टर के द्वारा कटाई करते हैं,0.267,अमारे यहां जब कटाई होती है तो हम लोग हाईवेस्तर के दौ़ारा कटाई करते हैं.,69.17,0.008
2,ताकि उसमें से जो उसमें से ये है कि हम लोग को उसमें भूसा नहीं मिलता है जो हम लोग गायों को खिला सकें,0.333,आक्की उसमे से जो उसमे से यह है कि हम लोग को उसमे पुस्छा नहीं मिलता है जो हम लोग गायो को खिला सकें।,61.54,0.06
3,उसमें नी मिलता और जब वहाँ पल हाथ से कटाई करते हैं जो हँसिया क्या होती है उससे कटाई करते हैं तो हम लोग फिर उसको गहवाते हैं जो भी होता है गेहूँ या फिर धान हो उसको हम लोग गहवाते उसकी मसीन होती है अलग ही मसीन होती है उसकी,1.0,,68.24,-0.008
4,अब नहीं होते उससे उसके लिए अलग से ही मसीन आ गई है जो हल चलते हैं,0.529,आब नहीं होते उसे उसके लिए अलग से ही मसिन आगई ऐए जो अच्छलते हैं।,67.58,-0.023
5,शेयर बाज़ार को हम जानते हैं शेयर में शेयर बाज़ार मे उतार चढ़ाव कैसे होता है ये पूरे अपने भारत में होती है भारत के होते हुए भी हमें जानकारी है कि,0.438,शेर बाजार को हम जानते हैं शेर में शेर बाजार में उतार चढ़ाव कैसे हुता हैं यह पूरे अपने पारत में होती हैं परत के होते हुए भी हमें जानकारी हैं कि,54.05,-0.004
6,चांदी गिरा कब चांदी का भाव बड़ा ये सब शेयर बाज़ार से हमको मालूम होता है कार हो गया जैसे गाड़ी हो गई बाइक हो गया मोटरसाइ और ट्रक हो गया बहुत से जो हैं वाहन भी शेयर बाज़ार से पता चलता है हमको,0.5,"चान्दी गिरा कभ चान्दी का बावडा ये सव शेर बाजार से हमको मालूम होता है कार उगया जैसे गढ़ी उगया बाईक उगया, मोतर साइ और ट्रक उगया बहुक से जो हैं वाहन भी शेर बाजार से पता चलता है हमको",52.0,-0.091
7,ये सारी जानकारियाँ हमको शेयर बाज़ार से होती हैं अब तो घर बैठे बैठे हम हर एक किसी एप से भी हम पैसा लगा देते हैं ले लेते हैं,0.345,"ये सारी जानेकारियां हमको शेर बजर से होती हैं, अब तो कर बेठे-बेठे हम हर एक किसी रप्से भी हम पैस लगा देते हैं, ले लेते हैं।",69.31,-0.054
8,सारे काम घर बैठे बैठे भी हो जाता है फ़ोन फ़ोन से हो जाता है शेयर बाज़ार तक पैसा पहुँच जाता है और उसकी भाव को हम पता वही से लगता है शेयर मार्किट से,0.314,"सारे काम गोर बैठे बैठे भी हो जाता है, फून फून से हो जाता है, सेर बजार तक पैसा पहूछ जाता है और उसकी भाव कोम पता वही से लागता है सेर मरकिट से.",69.33,-0.139
9,जी हाँ हमारे यहाँ कई गाइड और सर्विस प्रोवाइडर है जो हमारे क्षेत्रों मे पर्यटकों को क्षेत्र में मार्गदर्शित कराते है अब वो कई भाषाएं भी बोलते है अगर हम बात करें तो उसमें आते है रेडियन ट्रैवलस प्राइवेट लिमिटेड,0.575,"जी हां हमारे यहां के गाईड और सर्वीस प्रोइडर हैं, जो हमारे चेत्रों में परिटकों को चेतल में मार्ग ड़ाशित कराते हैं. अब वो केई पासाइं की बोलते हैं. अगर हम बात करें, तो उसमें नाते है रेडियान ट्रेवल ऐस प्राइवेट लिमिट.",68.18,0.021
10,पूजा कमनिकेशन श्री महालक्ष्मी टूरिस सर्विसेस सतपुड़ा ट्रेवल्स,0.875,पुजा कमनिकेशन्श्री महलक्षमी तौरिस सर्विसे साथपुडा ट्रेवल्स,45.93,0.056
11,भधावर ट्रेवल्स मिस्ट्री ट्रेवल्स विविनधा ट्रेवल्स,0.333,अधावर ट्रेवल्स मिस्तरी ट्रेवल्स विविनधा ट्रेवल्स,43.35,0.08
12,एन बहुत सारे ऐसे कई भी सर्विस प्रोवॉइडर्स है जो जो हम यहाँ से वहाँ घूमने में पूरे मधप्र देश में पूरे जितनी भी टूरीस वाली जगह है जहाँ हमें देखना चाहिए वहाँ पे वो हमें दिखाते है,0.316,"और बहुत सारे ऐसे कई भी सर्विस प्रोवाईटर्स हैं, जो जो हम यहाँ से वहां घुमने में पूरे मद्प्रजेस में पूरे जित्तिनी भी तूरीस वाली जगह हैं, जहाँ हमें देखना चाहिए हैं, वहाँ पे वो हमें दिखाते हैं.",67.63,0.049
13,और साथ में अगर हम भाषाओं की बात करें तो इंग्लिश और हिन्दी उनको दोनों आती है लेकिन मुख्य रूप से वो हिन्दी मे बात करते है और कई ऐसे भी सर्विस प्रोवाइडर है जो बुन्देलखण्डी भाषा का प्रयोग करते है क्योंकि हमारे यहाँ पे बुन्देलखण्ड की भाषा बहुत,0.449,और सातमे अब हम पाशाओं की बात करें तो इंग्लीश और इंडी उनको दोनो आती है लिकिन मुक्य रूप से वो हिंडी में बात करते है और केई ऐसे भी सर्विस प्रोवाइड है जो बुन्नेल खंडि भाशा का प्रयोग करते है क्योंकि हमारे यहाँ पे बुन्नेल कहन की पाशा बहुँ प्रवाइड है,67.96,0.046
14,प्रयोग मे लाई जाती है और अगर हम प्रोपर भोपाल की बात करें तो भोपाल में लोग भोपाली भाषा बोलते है जो हिन्दी और इंग्लिश और बुन्देलखण्डी का मिक्सअप होती है तो वो उस तरके की भाषा का प्रयोग करते है,0.512,र्योग में लाई जाती हैं और अगर हम पोपल फुपाल की बात करें तो फुपाल में लोग भुपाली पासा बूलते हैं जो इंदि और इंग्लिश और बुंदेल खंडि का मिक्सा पोती हैं तो वो उस तल के की पासा का प्रइयूग करते हैं,69.76,0.076
15,तो हाँ कह सकते है कि उन्हें हिन्दी इंग्लिश बुन्देलखण्डी और भोपाली जो खुद की बनाई हुई ये भाषा है उन सभी भाषाओं का प्रयोग करते है,0.481,"ओ हा कहा सकते है कि उन्हें इंडी, इंग्लीश, बुन्दिल्खंडी और भोपाली जोकृ की बनाई फूई ये भशाग है उन सभी भशाओ का प्रियूग करते है।",69.61,0.101
16,कम पदार्थ में ओ बन सकती है मतलब उसको मतलब बनाने के लिए ज़्यादा समय की जरूरत नहीं है कि ज़्यादा पदार्थ हो बस ज़्यादा सामानों की जरूरत नहीं है इसीलिए मैं खिचड़ी बना लेती हूँ और खिचड़ी तो मैंने ज़्यादातर ही बनाती हूँ क्योंकि ज़्यादातर मेरे यही परिस्थिति है,0.54,अम पदार्थ में ओ बन सक्टी है। मतलब उसको मतलब बनाने के लिये. जाजा समव्य की ज्ञरू रूरत नहीं है। की जाजा पदार्थ ओ बस जयादा समानो की ज्ञरूरत नहीं है। इसीलिये मैं खिचरी बना लेती हूं और खिचरी तो मैं ने ज्यादातर ही बनाती हूं क्योंकि ज्यादातर मेरे यही परिस्तिती है।,67.38,-0.002
