Test_ID,Category,Gender,WER,CER,Original_Text,Whisper_Transcription
HIN_01,vowels_and_consonants,Male,0.467,0.217,एक आम आदमी और औरत इमली के पेड़ के नीचे बैठकर ऊन बुन रहे हैं।,एक आम आद्नी और औरत इम्ही के पेर के निच्छे बाटकर उन बुन रहे हैं.
HIN_02,velars_gutturals,Male,0.722,0.299,"कमल और काव्या ने खेत से कद्दू उखाड़ा, फिर गरम घी का घड़ा उठाकर घर की ओर भागे।",तमजर काब्या ने खेट से कद्यू उखाँगा फिर करंगी का घड़ा उखाँकर खर्टी वौर बागे
HIN_03,retroflexes,Male,0.75,0.378,षट्कोण के अंदर रखे ढक्कन और डमरू को देखकर ठग टमाटर टोकरी में डालकर डर गया।,"शटकोन के अंदर रखें दखक नाउन्दम्गो को देखकर, थुट्टमाट तोफी में डाल के दर गया।"
HIN_04,palatals_and_nasals,Male,0.545,0.286,चंचल छतरी लेकर झमाझम बारिश में जंगल की ओर चली गई।,शेंजन चक्रे लेकर जमाजम दारिश में जंदिल की और चली गई।
HIN_05,labials_and_aspirated,Male,0.692,0.286,भालू ने भारी पेड़ पर बैठकर मीठा फल खाया और पानी पी लिया।,बानुने भारी पेट पर बैटकर निटा पाल खाया आट पानी पिलिया।
HIN_06,loan_words_nukta,Male,0.583,0.236,"ज़रा फ़िक्र मत करो, क़लम से ख़त लिखकर ग़ज़ल का मज़ा लो।","ज़रा फिक्र मत करो, कलम से खातने प्यर गजल का मजालो।"
HIN_07,complex_conjuncts,Male,0.417,0.182,"ज्ञानी ऋषि और श्रमिक ने क्षमा, विज्ञान और त्रिशूल का महत्व समझाया।","ज्यानी रिशी और स्रनिक ने शमा, विज्ञान और त्रिशूल का महत्व सम्जाया।"
HIN_08,dentals_and_visarga,Male,0.714,0.279,"दुःख मत कर, स्वतः ही नया धन प्राप्त होगा और धर्म की जीत होगी।",दूहक मतकर स्वतहा ही नया द्दहं प्राप्तोगा और दर्म की जीथ होगी
HIN_09,flaps_and_chandrabindu,Male,0.786,0.394,"गाँव में पाँच ऊँट, एक साँड़, और बड़ी सूँड वाले बूढ़े हाथी खड़े थे।","गाओ में पाचुन्त, एक साड और बडी सोंगाले बौडे हाती करेते ही।"
HIN_10,approximants_and_sibilants,Male,0.5,0.229,यश और श्वेता बहुत विश्वास के साथ विद्यालय में योग और व्यायाम सीखने गए।,यश और श्वेताप दहुत विश्वास के सात्विक गैले में जॉप और वियायाम सीखने गयें।
