Test_ID,Category,Gender,WER,CER,Original_Text,Whisper_Transcription
HIN_01,vowels_and_consonants,Female,0.733,0.333,एक आम आदमी और औरत इमली के पेड़ के नीचे बैठकर ऊन बुन रहे हैं।,एक हम आइल्ली गोल एमली के पेड की निजी बेटकर उन बुन रही हैं।
HIN_02,velars_gutturals,Female,0.556,0.182,"कमल और काव्या ने खेत से कद्दू उखाड़ा, फिर गरम घी का घड़ा उठाकर घर की ओर भागे।",कमल और काविया ने खेच से कदू उखाड़ा फिर गरम गी का घड़ा उठा कर गर किल वागे
HIN_03,retroflexes,Female,0.75,0.27,षट्कोण के अंदर रखे ढक्कन और डमरू को देखकर ठग टमाटर टोकरी में डालकर डर गया।,शाटकोण के अंदर रके डक्कन और दंबु को देख कर थक तम्ट तोग्री में डाल कर दर गया।
HIN_04,palatals_and_nasals,Female,0.545,0.245,चंचल छतरी लेकर झमाझम बारिश में जंगल की ओर चली गई।,चंचल छत्री लेकर जमाव जम भारश में जंगल की योर चुड़ी गई।
HIN_05,labials_and_aspirated,Female,1.0,0.768,भालू ने भारी पेड़ पर बैठकर मीठा फल खाया और पानी पी लिया।,बावुलुने बारिन्पुछें लिए बल्ड़ विल्प ने लड़े रिट।
HIN_06,loan_words_nukta,Female,0.833,0.455,"ज़रा फ़िक्र मत करो, क़लम से ख़त लिखकर ग़ज़ल का मज़ा लो।",जरा फिक्रे मत करो कले लोपड लिक्ट तेर गर्जल का मजल लोपड।
HIN_07,complex_conjuncts,Female,0.833,0.5,"ज्ञानी ऋषि और श्रमिक ने क्षमा, विज्ञान और त्रिशूल का महत्व समझाया।",क्यानी रिश्ची रखोलेश्टमादिकने चमा विग्ञान और जेशूल का महरस असम्जाया
HIN_08,dentals_and_visarga,Female,1.071,0.82,"दुःख मत कर, स्वतः ही नया धन प्राप्त होगा और धर्म की जीत होगी।","दुक्ष मत कर, सुताही नाय धन प्रणप्राप्त होना रॉनुदु कुरि मैंकी जी तो मगुए प्राप्त होना रॉनुदु"
HIN_09,flaps_and_chandrabindu,Female,0.929,0.591,"गाँव में पाँच ऊँट, एक साँड़, और बड़ी सूँड वाले बूढ़े हाथी खड़े थे।",गव में पाज उट एक साइल से वो शिन्ड बरे बूरे रेब बूरे बार्धे गणे थे।
HIN_10,approximants_and_sibilants,Female,0.857,0.671,यश और श्वेता बहुत विश्वास के साथ विद्यालय में योग और व्यायाम सीखने गए।,ख्याश्वाशुवे ता वो त्रुश्वास के साथ भिध्या।
