Test_ID,Category,Gender,WER,CER,Original_Text,Whisper_Transcription
HIN_01,vowels_and_consonants,Female,0.6,0.25,एक आम आदमी और औरत इमली के पेड़ के नीचे बैठकर ऊन बुन रहे हैं।,एक आम वदमी और औरत इम्ली के पेर के निच्छे बैट कर गुन बुन दे रहा हैं।
HIN_02,velars_gutturals,Female,0.667,0.234,"कमल और काव्या ने खेत से कद्दू उखाड़ा, फिर गरम घी का घड़ा उठाकर घर की ओर भागे।",कामल और काव्या ने खेर से कदू खाडा फिय गरम की काकडा उठाकर कर्की गोर पागे
HIN_03,retroflexes,Female,0.625,0.392,षट्कोण के अंदर रखे ढक्कन और डमरू को देखकर ठग टमाटर टोकरी में डालकर डर गया।,चटकुन के अंदर रहे तकन और दम्रू को देक का थाट्टा मता तोक्टि में डालकर डोर्ड गया।
HIN_04,palatals_and_nasals,Female,0.364,0.163,चंचल छतरी लेकर झमाझम बारिश में जंगल की ओर चली गई।,चंचल चठ्री लेकर चमाजम वारिश में जंगल की वूर चली गई।
HIN_05,labials_and_aspirated,Female,0.538,0.161,भालू ने भारी पेड़ पर बैठकर मीठा फल खाया और पानी पी लिया।,पालू ने पारी पेड पड बाटिकर बीठा खल खाया और पानी पी लिया।
HIN_06,loan_words_nukta,Female,0.833,0.218,"ज़रा फ़िक्र मत करो, क़लम से ख़त लिखकर ग़ज़ल का मज़ा लो।",चला फिक्र मत करो कलम से खात लिख कर गजल का मजा लो.
HIN_07,complex_conjuncts,Female,0.75,0.303,"ज्ञानी ऋषि और श्रमिक ने क्षमा, विज्ञान और त्रिशूल का महत्व समझाया।",विज्यानी रिसी और स्रमिक नेचमा विज्यान रोर्थ्रिशूल का महत्व सम्झाया.
HIN_08,dentals_and_visarga,Female,0.357,0.131,"दुःख मत कर, स्वतः ही नया धन प्राप्त होगा और धर्म की जीत होगी।","दुक्ह मत कर, स्वतहा की नया दन प्राप्त होगा और धर्म की जीत होगी"
HIN_09,flaps_and_chandrabindu,Female,0.571,0.303,"गाँव में पाँच ऊँट, एक साँड़, और बड़ी सूँड वाले बूढ़े हाथी खड़े थे।",गाउ में 5 बूट एक सार और बड़ी सुडगाले बूडे हाती खड़े थे।
HIN_10,approximants_and_sibilants,Female,0.429,0.157,यश और श्वेता बहुत विश्वास के साथ विद्यालय में योग और व्यायाम सीखने गए।,अच्यश और श्वेता बहुत विश्वस की साथ विद्याले में योग और वयम सीखने गय।
HIN_11,english_loan_words,Female,0.214,0.113,आजकल के डॉक्टर और इंजीनियर मॉडर्न स्कूल के प्रोजेक्ट पर काम कर रहे हैं।,आजकल के दोक्तर और इंजिनियर मोड़न्द स्कूल के प्रोजेक्ट पर काम कर रहे हैं।
HIN_12,heavy_geminates,Female,0.692,0.239,बिल्ली ने चम्मच से मक्खन चाटा और छप्पर पर कूदकर गुब्बारा फोड़ दिया।,बिली ने जम्मच से मकन चटा और चपर पर कूडकर गुबारा फूट दिया.
HIN_13,ha_placement,Female,0.615,0.283,हम कल सुबह शहर के उस बड़े महल की वजह से वहाँ ठहरेंगे।,और अमकल सूब अहार के वसबरे महल की वजा से वहाँ थारेंगे।
HIN_14,vowel_hiatus,Female,0.857,0.406,"भैया, कौआ उड़ गया, अब आइए और मुझे बताइए कि मैं वहाँ कैसे जाऊँगा?",भाईया वागूड गया अब बाई एक ओर मुझे बताई ये कि मैं वहाँ कही से जाउंगा
HIN_15,sanskrit_tatsama,Female,0.533,0.16,इस उज्ज्वल और महत्त्वपूर्ण कार्य के लिए प्राचीन संस्कृति और प्रौद्योगिकी का ज्ञान अनिवार्य है।,इस उज्वल और महत्वपूर्न कार्ये के लिए प्राजिन संस्क्रिति और प्रवद्योगिकी का ग्यान घनिवार्य है।
HIN_16,prosody_and_punctuation,Female,0.412,0.139,"वाह! तुमने तो कमाल कर दिया; लेकिन, क्या तुम्हें सच में लगता है कि यह मुमकिन है?","वाह! तुमने तो कमाल कर दिया! लेकिन, क्या तुममे सचमे लगता रहे कि यहां मुम्किन है?"
HIN_17,perso_arabic_nukta,Female,0.5,0.184,ख़ौफ़नाक तूफ़ान के बाज़ू में खड़े फ़क़ीर ने क़र्ज़ माफ़ करने की गुज़ारिश की।,खुफनाक तूफान के बाजू में खड़े पकीर ने कर्स बाफ करने की गुजारिश की।
HIN_18,number_normalization,Female,0.714,0.479,सेठ जी ने पचहत्तर प्रतिशत मुनाफ़े के साथ कुल चौवन हज़ार रुपये नकद कमाए।,सेट जी ने 75% मुनाफिके 7 कूल 94000 रुपये नकत कमाए।
HIN_19,consonant_clusters_r,Female,0.667,0.247,"ट्रेन स्टेशन से प्रस्थान कर चुकी है, कृपया अपने ट्रक को क्रॉसिंग से दूर रखें।",रेम्ष्टेशन से प्रस्तान खर छुकी है कि पेर अपने ट्रक को खौसिंग से दूर खें
HIN_20,alliteration_rapid,Female,0.733,0.239,चंदू के चाचा ने चाँदी के चम्मच से चटपटी चटनी चखाई और चंपारण चले गए।,"चंदू के चाचाने चादी के चमच से चट्पती, चट्नी चे खाई रोड चंपारन चलेगे।"
HIN_01,vowels_and_consonants,Male,0.4,0.183,एक आम आदमी और औरत इमली के पेड़ के नीचे बैठकर ऊन बुन रहे हैं।,एक आम आदमी और अवरत इमली के पेड के नीचे बेटकर उन बून रहे रहे हैं।
HIN_02,velars_gutturals,Male,0.667,0.26,"कमल और काव्या ने खेत से कद्दू उखाड़ा, फिर गरम घी का घड़ा उठाकर घर की ओर भागे।",कमल और काव्याने केट से कदूगु खाडा तेर करम की का कडा उठाकर कार की और पागे
HIN_03,retroflexes,Male,0.625,0.243,षट्कोण के अंदर रखे ढक्कन और डमरू को देखकर ठग टमाटर टोकरी में डालकर डर गया।,चटकुन के अंदर रखे तकन और दम्रू को देखर थोक तमाटर तोकरी मेई डालकर डोर गया
HIN_04,palatals_and_nasals,Male,0.455,0.163,चंचल छतरी लेकर झमाझम बारिश में जंगल की ओर चली गई।,चंचल चठरी लेकर चमाजम भारिश में जंगल की और चली गेई
HIN_05,labials_and_aspirated,Male,0.538,0.161,भालू ने भारी पेड़ पर बैठकर मीठा फल खाया और पानी पी लिया।,आलू ने पारी पेड पर बटकर मीथा फाल खाया और पानी पी लिया.
HIN_06,loan_words_nukta,Male,0.667,0.255,"ज़रा फ़िक्र मत करो, क़लम से ख़त लिखकर ग़ज़ल का मज़ा लो।","ज़रा फीकर मत करो, करम से खात लीक कर गचल का मजा लो."
HIN_07,complex_conjuncts,Male,0.833,0.394,"ज्ञानी ऋषि और श्रमिक ने क्षमा, विज्ञान और त्रिशूल का महत्व समझाया।","ग्यानी, रिसी, अवूद स्रमिक नेक्छमा भिज्यान अवूद त्रिशूल का महातुव सम्जाया।"
HIN_08,dentals_and_visarga,Male,0.643,0.246,"दुःख मत कर, स्वतः ही नया धन प्राप्त होगा और धर्म की जीत होगी।",तुक्ष मतकर स्वता की नया धन प्रापत होगा आवड़ धर्म की जित होगी
HIN_09,flaps_and_chandrabindu,Male,0.571,0.242,"गाँव में पाँच ऊँट, एक साँड़, और बड़ी सूँड वाले बूढ़े हाथी खड़े थे।",गाउ में पाजू उन्ट एक साड और बड़ी सूड बाले बूडे हाती खड़े थे।
HIN_10,approximants_and_sibilants,Male,0.429,0.129,यश और श्वेता बहुत विश्वास के साथ विद्यालय में योग और व्यायाम सीखने गए।,यश और स्वेता बहुत विश्वास के साथ विद्याले एज योग और ब्यायाम सीकने गये।
HIN_11,english_loan_words,Male,0.429,0.169,आजकल के डॉक्टर और इंजीनियर मॉडर्न स्कूल के प्रोजेक्ट पर काम कर रहे हैं।,आजकाल के दोक्तर और इंजीनियर मोडन अस्कूल के प्रोजेक्ट पर काम कर आहें।
HIN_12,heavy_geminates,Male,0.538,0.179,बिल्ली ने चम्मच से मक्खन चाटा और छप्पर पर कूदकर गुब्बारा फोड़ दिया।,बिल्ली ने चमच से मक्छाटा और चपर पर कूदकर गुबबारा फोड दिया
HIN_13,ha_placement,Male,0.615,0.283,हम कल सुबह शहर के उस बड़े महल की वजह से वहाँ ठहरेंगे।,औम कलसूब और सहार के उस बरे महल की वदा से वहां थाहरेंगे।
HIN_14,vowel_hiatus,Male,0.5,0.266,"भैया, कौआ उड़ गया, अब आइए और मुझे बताइए कि मैं वहाँ कैसे जाऊँगा?",ब्या कौवा उड़ कया अब आईये और मुझे बताईये की मैं वहाँ कैसे जाउगा
HIN_15,sanskrit_tatsama,Male,0.6,0.234,इस उज्ज्वल और महत्त्वपूर्ण कार्य के लिए प्राचीन संस्कृति और प्रौद्योगिकी का ज्ञान अनिवार्य है।,इस उज्वल और महत्रोपुन कारिय के लिये प्राचीन संस्क्रिती और प्रौध्योगिकी का ग्यान अनिवारिय हाए।
HIN_16,prosody_and_punctuation,Male,0.588,0.165,"वाह! तुमने तो कमाल कर दिया; लेकिन, क्या तुम्हें सच में लगता है कि यह मुमकिन है?",वाँ तुमनी तो कमल कर दिया लेकिन क्या तुम में सच्छी में लगता है कि यह मुम्किन हैं?
HIN_17,perso_arabic_nukta,Male,0.714,0.25,ख़ौफ़नाक तूफ़ान के बाज़ू में खड़े फ़क़ीर ने क़र्ज़ माफ़ करने की गुज़ारिश की।,खौफ नाक तूफान के बाजु में करे पकीने कर्ज बाफ करने की कुजारिश की।
HIN_18,number_normalization,Male,0.643,0.352,सेठ जी ने पचहत्तर प्रतिशत मुनाफ़े के साथ कुल चौवन हज़ार रुपये नकद कमाए।,"सेट जी ने 75 प्रतिष्यत मुनाफे के साथ कूल 44,000 रुपये नकत कमाएं"
HIN_19,consonant_clusters_r,Male,0.4,0.169,"ट्रेन स्टेशन से प्रस्थान कर चुकी है, कृपया अपने ट्रक को क्रॉसिंग से दूर रखें।","क्रें स्टेशन से प्रस्थान कर चुकी हैं, किरिप्या अपने ट्रक को खुरॉसिंग से दूर रखे हैं."
HIN_20,alliteration_rapid,Male,0.4,0.134,चंदू के चाचा ने चाँदी के चम्मच से चटपटी चटनी चखाई और चंपारण चले गए।,चन्दू के चाचा ने शादि के चम्मच से चट्पटी चट्नी चखाई और चंपारन चले गे।
